model_name,callsign,measure,order,aic,p,d,q
birmingham_al-tmax,"Birmingham, AL",tmax,"0, 1, 2",1979.2806324388898,0,1,2
birmingham_al-prcp,"Birmingham, AL",prcp,"1, 0, 0",2930.7497974999114,1,0,0
birmingham_al-wdir,"Birmingham, AL",wdir,"3, 1, 3",4521.147234465266,3,1,3
birmingham_al-wspd,"Birmingham, AL",wspd,"0, 1, 2",2121.998736669544,0,1,2
birmingham_al-pres,"Birmingham, AL",pres,"3, 0, 3",1865.0540204172464,3,0,3
bismarck_nd-tavg,"Bismarck, ND",tavg,"2, 1, 3",2057.903045008675,2,1,3
bismarck_nd-tmin,"Bismarck, ND",tmin,"3, 1, 3",2070.843379653926,3,1,3
bismarck_nd-tmax,"Bismarck, ND",tmax,"1, 1, 1",2331.5058490524902,1,1,1
bismarck_nd-prcp,"Bismarck, ND",prcp,"3, 0, 2",1912.6407398655733,3,0,2
bismarck_nd-snow,"Bismarck, ND",snow,"3, 0, 2",2837.2815956625536,3,0,2
bismarck_nd-wdir,"Bismarck, ND",wdir,"2, 1, 3",4472.457383116927,2,1,3
bismarck_nd-wspd,"Bismarck, ND",wspd,"3, 1, 3",2402.4188028952153,3,1,3
bismarck_nd-pres,"Bismarck, ND",pres,"0, 1, 2",2382.267737145159,0,1,2
blacksburg_va-tavg,"Blacksburg, VA",tavg,"3, 1, 3",1838.8995249098857,3,1,3
blacksburg_va-tmin,"Blacksburg, VA",tmin,"1, 1, 2",1909.3338215400606,1,1,2
blacksburg_va-tmax,"Blacksburg, VA",tmax,"2, 1, 2",2025.502575245038,2,1,2
blacksburg_va-prcp,"Blacksburg, VA",prcp,"0, 0, 1",2572.3573576141684,0,0,1
blacksburg_va-wdir,"Blacksburg, VA",wdir,"3, 1, 3",4545.213655107425,3,1,3
blacksburg_va-wspd,"Blacksburg, VA",wspd,"2, 1, 3",1994.9351375465671,2,1,3
blacksburg_va-pres,"Blacksburg, VA",pres,"3, 0, 0",2037.3257677706906,3,0,0
boise_id-tavg,"Boise, ID",tavg,"1, 1, 2",1747.6337018579716,1,1,2
boise_id-tmin,"Boise, ID",tmin,"2, 1, 2",1797.195541678574,2,1,2
boise_id-tmax,"Boise, ID",tmax,"1, 1, 2",1951.4848762807069,1,1,2
boise_id-prcp,"Boise, ID",prcp,"2, 0, 0",1695.2210807434908,2,0,0
boise_id-snow,"Boise, ID",snow,"3, 0, 3",2543.6516046175448,3,0,3
boise_id-wdir,"Boise, ID",wdir,"1, 1, 2",4431.643103478953,1,1,2
boise_id-wspd,"Boise, ID",wspd,"3, 0, 2",2150.0060878358026,3,0,2
boise_id-pres,"Boise, ID",pres,"0, 1, 3",2125.4327381664516,0,1,3
boston_ma-tavg,"Boston, MA",tavg,"3, 1, 1",1930.8825189617826,3,1,1
boston_ma-tmin,"Boston, MA",tmin,"0, 1, 2",1948.0848572730586,0,1,2
boston_ma-tmax,"Boston, MA",tmax,"3, 1, 2",2099.721210837537,3,1,2
boston_ma-prcp,"Boston, MA",prcp,"2, 0, 3",2641.019716112381,2,0,3
boston_ma-wdir,"Boston, MA",wdir,"3, 1, 3",4369.095265368031,3,1,3
boston_ma-wspd,"Boston, MA",wspd,"0, 1, 2",2173.5624356811995,0,1,2
boston_ma-pres,"Boston, MA",pres,"3, 1, 2",2354.859092994482,3,1,2
brownsville_tx-tavg,"Brownsville, TX",tavg,"0, 1, 3",1733.131716851556,0,1,3
brownsville_tx-tmin,"Brownsville, TX",tmin,"3, 1, 3",1851.2348511679288,3,1,3
brownsville_tx-tmax,"Brownsville, TX",tmax,"1, 1, 2",1865.5734807897074,1,1,2
brownsville_tx-prcp,"Brownsville, TX",prcp,"3, 1, 3",2930.5619943593497,3,1,3
brownsville_tx-wdir,"Brownsville, TX",wdir,"3, 1, 3",4304.384632769841,3,1,3
brownsville_tx-wspd,"Brownsville, TX",wspd,"3, 1, 3",2288.232587569345,3,1,3
brownsville_tx-pres,"Brownsville, TX",pres,"0, 1, 3",1875.2819612014791,0,1,3
buffalo_ny-tavg,"Buffalo, NY",tavg,"0, 1, 3",1942.6934913517057,0,1,3
buffalo_ny-tmin,"Buffalo, NY",tmin,"2, 1, 1",1925.7464709345572,2,1,1
buffalo_ny-tmax,"Buffalo, NY",tmax,"1, 1, 2",2099.1003312583352,1,1,2
buffalo_ny-prcp,"Buffalo, NY",prcp,"0, 0, 1",2467.609238467331,0,0,1
buffalo_ny-snow,"Buffalo, NY",snow,"2, 1, 2",3529.1333576794123,2,1,2
buffalo_ny-wdir,"Buffalo, NY",wdir,"3, 0, 3",4270.662003573407,3,0,3
buffalo_ny-wspd,"Buffalo, NY",wspd,"1, 1, 1",2327.0426520729725,1,1,1
buffalo_ny-pres,"Buffalo, NY",pres,"3, 1, 3",2279.7072874377395,3,1,3
burlington_vt-tavg,"Burlington, VT",tavg,"2, 1, 1",2050.6508160318754,2,1,1
burlington_vt-tmin,"Burlington, VT",tmin,"3, 1, 3",2085.391239392581,3,1,3
burlington_vt-tmax,"Burlington, VT",tmax,"0, 1, 3",2135.962757727014,0,1,3
burlington_vt-prcp,"Burlington, VT",prcp,"3, 0, 2",2322.7820279776397,3,0,2
burlington_vt-snow,"Burlington, VT",snow,"1, 1, 1",3456.319931199897,1,1,1
burlington_vt-wdir,"Burlington, VT",wdir,"3, 1, 3",4461.589811883425,3,1,3
burlington_vt-wspd,"Burlington, VT",wspd,"3, 1, 3",2275.223377173267,3,1,3
burlington_vt-pres,"Burlington, VT",pres,"3, 1, 3",2342.8275532258313,3,1,3
caribou_me-tavg,"Caribou, ME",tavg,"1, 1, 3",2031.5257016928276,1,1,3
caribou_me-tmin,"Caribou, ME",tmin,"2, 1, 1",2101.7643236763815,2,1,1
caribou_me-tmax,"Caribou, ME",tmax,"2, 1, 1",2124.452162017714,2,1,1
caribou_me-prcp,"Caribou, ME",prcp,"3, 0, 3",2347.197075326989,3,0,3
caribou_me-snow,"Caribou, ME",snow,"2, 2, 2",3386.023060236546,2,2,2
caribou_me-wdir,"Caribou, ME",wdir,"1, 1, 1",4441.554181547591,1,1,1
caribou_me-wspd,"Caribou, ME",wspd,"2, 1, 1",2128.074865929995,2,1,1
caribou_me-pres,"Caribou, ME",pres,"3, 0, 1",2408.460897186572,3,0,1
charleston_sc-tavg,"Charleston, SC",tavg,"0, 1, 3",1704.0796742622701,0,1,3
charleston_sc-tmin,"Charleston, SC",tmin,"0, 1, 3",1837.7191591920925,0,1,3
charleston_sc-tmax,"Charleston, SC",tmax,"2, 1, 1",1851.0441993595803,2,1,1
charleston_sc-prcp,"Charleston, SC",prcp,"2, 1, 2",2685.1516414968564,2,1,2
charleston_sc-wdir,"Charleston, SC",wdir,"2, 0, 3",4421.267341242881,2,0,3
charleston_sc-wspd,"Charleston, SC",wspd,"0, 1, 2",2062.4092813239536,0,1,2
charleston_sc-pres,"Charleston, SC",pres,"3, 1, 3",1939.6210641154687,3,1,3
cheyenne_wy-tavg,"Cheyenne, WY",tavg,"3, 1, 3",2018.0510865948713,3,1,3
cheyenne_wy-tmin,"Cheyenne, WY",tmin,"2, 1, 3",2093.6022088469526,2,1,3
cheyenne_wy-tmax,"Cheyenne, WY",tmax,"1, 1, 2",2216.1978845240183,1,1,2
cheyenne_wy-prcp,"Cheyenne, WY",prcp,"0, 1, 1",2008.8976434382362,0,1,1
cheyenne_wy-snow,"Cheyenne, WY",snow,"1, 1, 3",3134.634177163896,1,1,3
cheyenne_wy-wdir,"Cheyenne, WY",wdir,"3, 1, 3",4236.572332828942,3,1,3
cheyenne_wy-wspd,"Cheyenne, WY",wspd,"2, 1, 2",2327.9741094051205,2,1,2
cheyenne_wy-pres,"Cheyenne, WY",pres,"1, 1, 3",2228.7589733428713,1,1,3
chicago_il-tavg,"Chicago, IL",tavg,"1, 1, 2",1932.3210322659124,1,1,2
chicago_il-tmin,"Chicago, IL",tmin,"1, 1, 2",1972.2387283505175,1,1,2
chicago_il-tmax,"Chicago, IL",tmax,"1, 1, 2",2132.683258110884,1,1,2
chicago_il-prcp,"Chicago, IL",prcp,"0, 0, 1",2290.5698102932074,0,0,1
chicago_il-snow,"Chicago, IL",snow,"3, 1, 3",2783.7490244160404,3,1,3
chicago_il-wdir,"Chicago, IL",wdir,"1, 1, 1",4298.35348915345,1,1,1
chicago_il-wspd,"Chicago, IL",wspd,"1, 1, 3",2174.396674165638,1,1,3
chicago_il-pres,"Chicago, IL",pres,"3, 0, 3",2227.6650796511117,3,0,3
cincinnati_oh-tavg,"Cincinnati, OH",tavg,"3, 1, 3",1925.4741906158529,3,1,3
cincinnati_oh-tmin,"Cincinnati, OH",tmin,"2, 1, 2",1986.7798456524702,2,1,2
cincinnati_oh-tmax,"Cincinnati, OH",tmax,"0, 1, 3",2096.7314306363537,0,1,3
cincinnati_oh-prcp,"Cincinnati, OH",prcp,"0, 0, 1",2469.3967227135417,0,0,1
cincinnati_oh-wdir,"Cincinnati, OH",wdir,"2, 1, 1",4528.049195022664,2,1,1
cincinnati_oh-wspd,"Cincinnati, OH",wspd,"1, 1, 1",2173.9618415383934,1,1,1
cincinnati_oh-pres,"Cincinnati, OH",pres,"3, 0, 3",2157.44572209292,3,0,3
cleveland_oh-tavg,"Cleveland, OH",tavg,"0, 1, 3",1983.1265164704168,0,1,3
cleveland_oh-tmin,"Cleveland, OH",tmin,"1, 1, 2",1980.7185136284406,1,1,2
cleveland_oh-tmax,"Cleveland, OH",tmax,"0, 1, 3",2116.1520573274547,0,1,3
cleveland_oh-prcp,"Cleveland, OH",prcp,"3, 0, 3",2475.879414957559,3,0,3
cleveland_oh-snow,"Cleveland, OH",snow,"3, 1, 3",3251.1313183321104,3,1,3
cleveland_oh-wdir,"Cleveland, OH",wdir,"3, 1, 3",4338.91125363595,3,1,3
cleveland_oh-wspd,"Cleveland, OH",wspd,"2, 1, 2",2277.9191523423897,2,1,2
cleveland_oh-pres,"Cleveland, OH",pres,"3, 0, 1",2230.097074219031,3,0,1
columbia_sc-tavg,"Columbia, SC",tavg,"0, 1, 3",1722.8814564809172,0,1,3
columbia_sc-tmin,"Columbia, SC",tmin,"1, 1, 2",1884.1067444823027,1,1,2
columbia_sc-tmax,"Columbia, SC",tmax,"2, 1, 1",1891.6021768692367,2,1,1
columbia_sc-prcp,"Columbia, SC",prcp,"0, 0, 3",2526.092992252552,0,0,3
columbia_sc-snow,"Columbia, SC",snow,"0, 0, 1",1748.035709256917,0,0,1
columbia_sc-wdir,"Columbia, SC",wdir,"1, 1, 1",4493.626077599024,1,1,1
columbia_sc-wspd,"Columbia, SC",wspd,"0, 1, 2",1968.0154849776343,0,1,2
columbia_sc-pres,"Columbia, SC",pres,"3, 1, 3",1978.7546981902758,3,1,3
corpus christi_tx-tavg,"Corpus Christi, TX",tavg,"3, 1, 1",1758.0851044212168,3,1,1
corpus christi_tx-tmin,"Corpus Christi, TX",tmin,"2, 1, 3",1906.5097192779958,2,1,3
