id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,callsign
KYIP0,Detroit / Denton,US,MI,,KYIP,42.2393,-83.531,218.0,America/Detroit,1973-01-01,2022-04-02,1973-01-03,2022-03-30,2005-01-01,2022-01-01,"Detroit, MI"
72634,"Gaylord, Mi.",US,MI,72634,KAPX,44.9167,-84.7167,446.0,America/Detroit,1973-01-01,2001-05-02,1998-08-01,2022-03-29,1998-01-01,2022-01-01,"Gaylord, MI"
KGLR0,Gaylord / Nottingham Forest Mobile Home Park,US,MI,,KGLR,45.0136,-84.7036,405.0,America/Detroit,2006-01-01,2022-04-02,2006-01-01,2022-03-31,2006-01-01,2022-01-01,"Gaylord, MI"
72743,Marquette,US,MI,72743,KMQT,46.5333,-87.55,434.0,America/Detroit,1973-01-01,2022-02-23,1857-09-01,2022-03-29,1857-01-01,2022-01-01,"Marquette, MI"
72745,Duluth International Airport,US,MN,72745,KDLH,46.8333,-92.2167,435.0,America/Chicago,1948-01-01,2022-04-02,1948-01-01,2022-03-31,1948-01-01,2022-01-01,"Duluth, MN"
KDYT0,Duluth / East End,US,MN,,KDYT,46.7219,-92.0434,186.0,America/Chicago,2006-01-01,2022-04-02,2006-01-01,2022-03-31,2010-01-01,2022-01-01,"Duluth, MN"
72446,Kansas City International Airport,US,MO,72446,KMCI,39.2972,-94.7306,313.0,America/Chicago,1973-01-01,2022-04-02,1972-10-01,2022-03-31,1972-01-01,2022-01-01,"Kansas City, MO"
KGVW0,Kansas City,US,MO,,KGVW,38.8442,-94.5603,0.0,America/Chicago,1954-03-27,2022-04-02,1954-03-28,2022-03-31,1954-01-01,1977-01-01,"Kansas City, MO"
KMKC0,Kansas City / Harlem,US,MO,,KMKC,39.1232,-94.5928,230.0,America/Chicago,1990-02-08,2022-04-02,1990-02-09,2022-03-30,2005-01-01,2021-01-01,"Kansas City, MO"
72440,Springfield-Branson National,US,MO,72440,KSGF,37.2333,-93.05,386.0,America/Chicago,1973-01-01,2022-04-02,1940-08-01,2022-03-31,1940-01-01,2022-01-01,"Springfield, MO"
KSUS0,St Louis / St. Louis / Stevens,US,MO,,KSUS,38.6621,-90.6521,141.0,America/Chicago,1973-01-01,2022-04-02,1986-11-08,2022-03-30,1987-01-01,2021-01-01,"St. Louis, MO"
KHSI0,Hastings / Ingleside,US,NE,,KHSI,40.6052,-98.4279,598.0,America/Chicago,2006-01-01,2022-04-02,2006-01-01,2022-03-30,2006-01-01,2021-01-01,"Hastings, NE"
72562,North Platte Regional Airport,US,NE,72562,KLBF,41.1167,-100.6667,847.0,America/Chicago,1973-01-01,2022-04-02,1948-01-01,2022-03-31,1948-01-01,2022-01-01,"North Platte, NE"
72550,Omaha Eppley Airfield,US,NE,72550,KOMA,41.3,-95.9,300.0,America/Chicago,1975-01-01,2022-04-02,1948-01-01,2022-03-31,1948-01-01,2022-01-01,"Omaha, NE"
72554,Omaha / Offutt Air Force Base,US,NE,72554,KOFF,41.1167,-95.9,319.0,America/Chicago,1948-01-12,2022-04-02,1948-01-13,2022-03-31,1948-01-01,2020-01-01,"Omaha, NE"
KMLE0,Omaha / Millard,US,NE,,KMLE,41.196,-96.1123,320.0,America/Chicago,2006-01-01,2022-04-02,2006-01-01,2022-03-31,2006-01-01,2022-01-01,"Omaha, NE"
72764,Bismarck Municipal Airport,US,ND,72764,KBIS,46.7833,-100.75,511.0,America/Chicago,1936-07-01,2022-04-02,1936-07-01,2022-03-31,1936-01-01,2022-01-01,"Bismarck, ND"
KGFK0,Grand Forks / Powell,US,ND,,KGFK,47.9473,-97.1738,257.0,America/Chicago,2010-08-01,2022-04-02,2010-08-01,2022-03-30,2010-01-01,2022-01-01,"Grand Forks, ND"
72659,Aberdeen Regional Airport,US,SD,72659,KABR,45.45,-98.4167,397.0,America/Chicago,1973-01-01,2022-04-02,1893-01-01,2022-03-31,1893-01-01,2022-01-01,"Aberdeen, SD"
72662,Rapid City Regional Airport,US,SD,72662,KRAP,44.05,-103.05,976.0,America/Denver,1973-01-01,2022-04-02,1948-05-01,2022-03-31,1948-01-01,2022-01-01,"Rapid City, SD"
72651,Sioux Falls Foss Field,US,SD,72651,KFSD,43.5833,-96.75,436.0,America/Chicago,1942-10-01,2022-04-02,1932-01-01,2022-03-31,1932-01-01,2022-01-01,"Sioux Falls, SD"
72643,La Crosse Municipal Airport,US,WI,72643,KLSE,43.8833,-91.25,199.0,America/Chicago,1948-01-01,2022-04-02,1938-04-01,2022-03-31,1938-01-01,2022-01-01,"La Crosse, WI"
72564,Cheyenne Airport,US,WY,72564,KCYS,41.15,-104.8,1878.0,America/Denver,1948-01-01,2022-04-02,1915-01-01,2022-03-31,1915-01-01,2022-01-01,"Cheyenne, WY"
KFEW0,Cheyenne F E Warren / Warren Air Force Base,US,WY,,KFEW,41.1333,-104.8672,1878.0,America/Denver,2009-04-23,2022-04-02,2011-07-22,2022-03-30,2016-01-01,2022-01-01,"Cheyenne, WY"
72672,Riverton Regional Airport,US,WY,72672,KRIW,43.0667,-108.45,1684.0,America/Denver,2007-04-01,2022-04-02,2007-04-01,2022-03-31,2007-01-01,2021-01-01,"Riverton, WY"
72712,Caribou Municipal Airport,US,ME,72712,KCAR,46.8667,-68.0167,191.0,America/New_York,1973-01-01,2022-04-02,1939-01-16,2022-04-01,1939-01-01,2022-01-01,"Caribou, ME"
74389,"Gray, Me.",US,ME,74389,KGYX,43.9,-70.25,125.0,America/New_York,,,1995-10-01,2022-03-28,1995-01-01,2022-01-01,"Gray, ME"
72509,Boston Logan International,US,MA,72509,KBOS,42.3667,-71.0167,6.0,America/New_York,1943-11-21,2022-04-02,1936-01-01,2022-03-31,1936-01-01,2022-01-01,"Boston, MA"
KTAN0,Boston / East Taunton,US,MA,,KTAN,41.8744,-71.0166,13.0,America/New_York,2006-01-01,2022-04-02,2006-01-01,2022-03-30,2006-01-01,2022-01-01,"Boston, MA"
KVAY0,Mount Holly / Springville,US,NJ,,KVAY,39.9429,-74.8457,16.0,America/New_York,2006-01-01,2022-04-02,2006-01-01,2022-03-30,2006-01-01,2021-01-01,"Mount Holly, NJ"
72518,Albany International Airport,US,NY,72518,KALB,42.75,-73.1333,87.0,America/New_York,1946-01-01,2022-04-02,1938-06-01,2022-03-31,1938-01-01,2022-01-01,"Albany, NY"
72515,Binghamton Regional Airport,US,NY,72515,KBGM,42.2,-75.15,499.0,America/New_York,1973-01-01,2022-04-02,1951-05-25,2022-03-31,1951-01-01,2022-01-01,"Binghamton, NY"
72528,Buffalo Airport,US,NY,72528,KBUF,42.9333,-78.7333,221.0,America/New_York,1942-02-01,2022-04-02,1938-05-01,2022-03-31,1938-01-01,2022-01-01,"Buffalo, NY"
KJRB0,New York / Wall Street,US,NY,,KJRB,40.7012,-74.009,2.0,America/New_York,2016-07-20,2022-03-29,2016-07-21,2022-03-25,2019-01-01,2021-01-01,"New York, NY"
KNYC0,New York City / Yorkville,US,NY,,KNYC,40.7789,-73.9692,3.0,America/New_York,1943-12-01,2022-04-02,1943-12-02,2022-03-31,1944-01-01,2021-01-01,"New York, NY"
72306,Raleigh-Durham International  Airport,US,NC,72306,KRDU,35.9,-78.7667,133.0,America/New_York,1945-11-01,2022-04-02,1944-05-18,2022-03-31,1944-01-01,2022-01-01,"Raleigh, NC"
72302,Wilmington / The Palms Mobile Home Park,US,NC,72302,KILM,34.2706,-77.9026,10.0,America/New_York,1991-01-01,2022-04-02,1948-01-01,2022-03-31,1948-01-01,2022-01-01,"Wilmington, NC"
72524,Cleveland-Hopkins International,US,OH,72524,KCLE,41.4,-81.85,241.0,America/New_York,1973-01-01,2022-04-02,1938-05-01,2022-03-31,1938-01-01,2022-01-01,"Cleveland, OH"
KLUK0,Cincinnati / Columbia,US,OH,,KLUK,39.1033,-84.4186,147.0,America/New_York,1973-01-01,2022-04-02,1973-01-01,2022-03-31,1999-01-01,2022-01-01,"Cincinnati, OH"
72520,Greater Pittsburgh International,US,PA,72520,KPIT,40.4833,-80.0667,367.0,America/New_York,1945-02-01,2022-04-02,1945-02-01,2022-03-31,1945-01-01,2022-01-01,"Pittsburgh, PA"
KUNV0,State College / Hunter Park,US,PA,,KUNV,40.8493,-77.8487,378.0,America/New_York,2005-01-01,2022-04-02,2005-01-01,2022-03-31,2015-01-01,2022-01-01,"State College, PA"
72208,Charleston Airport,US,SC,72208,KCHS,32.9,-80.0333,14.0,America/New_York,1945-01-01,2022-04-02,1937-03-01,2022-03-31,1937-01-01,2022-01-01,"Charleston, SC"
KJZI0,Charleston / Grimball Shores,US,SC,,KJZI,32.701,-80.0033,6.0,America/New_York,2013-01-01,2022-04-02,2013-01-01,2022-03-31,2015-01-01,2022-01-01,"Charleston, SC"
72310,Columbia Metropolitan Airport,US,SC,72310,KCAE,33.95,-81.1167,72.0,America/New_York,1942-04-24,2022-04-02,1942-04-24,2022-03-31,1942-01-01,2022-01-01,"Columbia, SC"
KCUB0,Columbia / Arthurtown,US,SC,,KCUB,33.9705,-80.9952,59.0,America/New_York,2006-01-01,2022-04-02,2006-01-01,2022-03-31,2006-01-01,2021-01-01,"Columbia, SC"
72312,Greer Greenville Spartburg,US,SC,72312,KGSP,34.8833,-82.05,296.0,America/New_York,1973-01-01,2022-04-02,1962-10-15,2022-03-31,1962-01-01,2022-01-01,"Greenville, SC"
KGMU0,Greenville / Woods (Historical),US,SC,,KGMU,34.8479,-82.35,319.0,America/New_York,1942-09-08,2022-04-02,1942-09-09,2022-03-31,1942-01-01,2021-01-01,"Greenville, SC"
KGYH0,Greenville / Holly Springs,US,SC,,KGYH,34.7583,-82.3764,291.0,America/New_York,2006-01-01,2022-04-02,2009-09-14,2022-03-31,2020-01-01,2021-01-01,"Greenville, SC"
72617,Burlington International,US,VT,72617,KBTV,44.4667,-73.15,102.0,America/New_York,1948-01-01,2022-04-02,1940-12-01,2022-03-31,1940-01-01,2022-01-01,"Burlington, VT"
