id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,callsign
72248,Shreveport Regional Airport,US,LA,72248,KSHV,32.45,-93.0,79.0,America/Chicago,1973-01-01,2022-04-02,1939-07-01,2022-03-31,1939-01-01,2022-01-01,"Shreveport, LA"
KDTN0,Shreveport,US,LA,,KDTN,32.5402,-93.745,55.0,America/Chicago,2000-01-01,2022-04-02,2000-01-01,2022-03-30,2001-01-01,2021-01-01,"Shreveport, LA"
72235,Jackson Airport,US,MS,72235,KJAN,32.3167,-90.0667,105.0,America/Chicago,1942-09-01,2022-04-02,1942-09-01,2022-03-30,1942-01-01,2022-01-01,"Jackson, MS"
72419,Jackson / Northwest Hills,US,MS,72419,KHKS,32.3348,-90.2225,104.0,America/Chicago,2005-01-01,2022-04-02,1981-01-01,2022-03-31,1981-01-01,2022-01-01,"Jackson, MS"
72365,Albuquerque International  Airport,US,NM,72365,KABQ,35.0333,-106.6,1631.0,America/Denver,1941-07-01,2022-04-02,1931-03-01,2022-03-31,1931-01-01,2022-01-01,"Albuquerque, NM"
KAEG0,Albuquerque / Taylor Ranch,US,NM,,KAEG,35.1452,-106.7952,1779.0,America/Denver,2006-01-01,2022-04-02,2006-01-02,2022-03-31,2010-01-01,2022-01-01,"Albuquerque, NM"
72357,Norman / Max Westheimer,US,OK,72357,KOUN,35.2167,-97.45,357.0,America/Chicago,2006-01-01,2022-04-02,2006-01-01,2022-03-31,2015-01-01,2022-01-01,"Norman, OK"
72356,Tulsa International Airport,US,OK,72356,KTUL,36.2,-95.8881,206.0,America/Chicago,1947-01-01,2022-04-02,1938-12-01,2022-03-31,1938-01-01,2022-01-01,"Tulsa, OK"
KRVS0,Tulsa / Jenks,US,OK,,KRVS,36.0396,-95.9846,195.0,America/Chicago,2006-01-01,2022-04-02,2006-01-01,2022-03-30,2006-01-01,2021-01-01,"Tulsa, OK"
72334,Memphis International Airport,US,TN,72334,KMEM,35.0333,-89.9833,102.0,America/Chicago,1946-10-01,2022-04-02,1940-01-01,2022-03-31,1940-01-01,2022-01-01,"Memphis, TN"
KNQA0,Memphis / Kerrville,US,TN,,KNQA,35.3567,-89.8703,98.0,America/Chicago,2005-01-01,2022-04-02,2005-01-01,2022-03-30,2017-01-01,2022-01-01,"Memphis, TN"
72327,Nashville Airport,US,TN,72327,KBNA,36.1167,-86.6833,183.0,America/Chicago,1951-01-01,2022-04-02,1948-01-01,2022-03-31,1948-01-01,2022-01-01,"Nashville, TN"
72363,Amarillo International  Airport,US,TX,72363,KAMA,35.2167,-101.7167,1099.0,America/Chicago,1943-03-01,2022-04-02,1943-03-01,2022-03-31,1943-01-01,2022-01-01,"Amarillo, TX"
72254,Camp Mabry/Austin City Asos,US,TX,72254,KATT,30.3167,-97.7667,201.0,America/Chicago,2000-01-01,2022-04-02,1938-06-01,2022-03-31,1938-01-01,2022-01-01,"Austin, TX"
74745,Austin / Del Valle,US,TX,74745,KAUS,30.1945,-97.6699,165.0,America/Chicago,1999-05-24,2022-04-02,1948-03-15,2022-03-31,1949-01-01,2022-01-01,"Austin, TX"
KEDC0,Austin / New Sweden,US,TX,,KEDC,30.3975,-97.5664,189.0,America/Chicago,2009-07-22,2022-04-02,2009-07-28,2022-03-31,2020-01-01,2022-01-01,"Austin, TX"
72250,Brownsville/South Padre Is,US,TX,72250,KBRO,25.9,-97.4231,7.0,America/Chicago,1947-01-01,2022-04-02,1898-12-01,2022-03-31,1898-01-01,2022-01-01,"Brownsville, TX"
72251,Corpus Christi International,US,TX,72251,KCRP,27.7667,-97.0167,13.0,America/Chicago,1946-08-01,2022-04-02,1946-08-01,2022-03-31,1946-01-01,2022-01-01,"Corpus Christi, TX"
72249,Fort Worth,US,TX,72249,KFWD,32.8333,-97.3,196.0,America/Chicago,,,1948-08-01,2022-03-28,1948-01-01,2022-01-01,"Fort Worth, TX"
74739,Fort Worth / Sansom Park,US,TX,74739,KFTW,32.8198,-97.3624,216.0,America/Chicago,2005-01-01,2022-04-02,1946-09-02,2022-03-29,1946-01-01,2022-01-01,"Fort Worth, TX"
KAFW0,Fort Worth / Haslet,US,TX,,KAFW,32.9876,-97.3188,220.0,America/Chicago,2006-01-01,2022-04-02,2006-01-01,2022-03-30,2006-01-01,2022-01-01,"Fort Worth, TX"
KFWS0,Fort Worth / Oak Grove,US,TX,,KFWS,32.5652,-97.3081,213.0,America/Chicago,2006-06-18,2022-04-02,2012-10-16,2022-03-31,2020-01-01,2022-01-01,"Fort Worth, TX"
72243,Houston Intercontinental,US,TX,72243,KIAH,30.0,-95.3667,30.0,America/Chicago,1973-01-01,2022-04-02,1969-06-01,2022-03-31,1969-01-01,2022-01-01,"Houston, TX"
72244,Houston / Olcott,US,TX,72244,KEFD,29.6073,-95.1587,10.0,America/Chicago,1941-07-01,2022-04-02,1930-08-01,2022-03-29,1930-01-01,2022-01-01,"Houston, TX"
KAXH0,Houston / Duke,US,TX,,KAXH,29.5061,-95.4769,21.0,America/Chicago,2009-06-19,2022-04-02,2009-12-18,2022-03-31,2012-01-01,2022-01-01,"Houston, TX"
KDWH0,Houston / Pinewood Place,US,TX,,KDWH,30.0618,-95.5528,46.0,America/Chicago,2006-01-01,2022-04-02,2006-01-01,2022-03-30,2006-01-01,2022-01-01,"Houston, TX"
KLVJ0,Houston / Hastings,US,TX,,KLVJ,29.5213,-95.2421,13.0,America/Chicago,2006-01-01,2022-04-02,2006-01-01,2022-03-30,2006-01-01,2021-01-01,"Houston, TX"
KSGR0,Houston / Sugar Land,US,TX,,KSGR,29.6223,-95.6565,25.0,America/Chicago,2006-01-01,2022-04-02,2006-01-01,2022-03-30,2006-01-01,2022-01-01,"Houston, TX"
KTME0,Houston / Cardiff,US,TX,,KTME,29.805,-95.8979,51.0,America/Chicago,2009-12-16,2022-04-02,2009-12-17,2022-03-31,2020-01-01,2022-01-01,"Houston, TX"
72267,Lubbock International Airport,US,TX,72267,KLBB,33.6667,-101.8167,1000.0,America/Chicago,1945-08-10,2022-04-02,1945-08-10,2022-03-31,1946-01-01,2022-01-01,"Lubbock, TX"
72265,Midland International Airport,US,TX,72265,KMAF,31.9333,-102.2,875.0,America/Chicago,1948-02-01,2022-04-02,1930-06-01,2022-03-31,1930-01-01,2022-01-01,"Midland, TX"
KMDD0,Midland,US,TX,,KMDD,32.0365,-102.101,854.0,America/Chicago,2006-06-21,2022-04-02,2007-09-10,2022-03-31,2015-01-01,2022-01-01,"Midland, TX"
